location_id,location_name,sex_name,age_group_id,age_group_name,year_id,sample_size,age_sex_split,outlier
16,Philippines,Male,32,90 to 94,2023,23447.42708117113,yes,no
16,Philippines,Male,235,95 plus,2023,6490.693922158543,yes,yes
16,Philippines,Female,9,20 to 24,2023,5172468.726962244,yes,no
16,Philippines,Female,10,25 to 29,2023,4807673.702712337,yes,no
16,Philippines,Female,11,30 to 34,2023,4362269.593727478,yes,no
16,Philippines,Female,12,35 to 39,2023,3757566.488660955,yes,no
16,Philippines,Female,13,40 to 44,2023,3444273.248046079,yes,no
16,Philippines,Female,14,45 to 49,2023,2940214.96971445,yes,no
16,Philippines,Female,15,50 to 54,2023,2624943.0066368827,yes,no
16,Philippines,Female,16,55 to 59,2023,2238113.5549939745,yes,no
16,Philippines,Female,17,60 to 64,2023,1905010.916501275,yes,no
16,Philippines,Female,18,65 to 69,2023,1477530.6891132153,yes,no
16,Philippines,Female,19,70 to 74,2023,1024683.182264309,yes,no
16,Philippines,Female,20,75 to 79,2023,645003.145102868,yes,no
16,Philippines,Female,30,80 to 84,2023,387844.87850640825,yes,no
16,Philippines,Female,31,85 to 89,2023,197049.1731705136,yes,no
16,Philippines,Female,32,90 to 94,2023,64608.55221105472,yes,no
16,Philippines,Female,235,95 plus,2023,18007.851816470735,yes,yes
17,Sri Lanka,Male,9,20 to 24,2023,839685.2446879026,yes,no
17,Sri Lanka,Male,10,25 to 29,2023,782104.0326663911,yes,no
17,Sri Lanka,Male,11,30 to 34,2023,736604.3043426891,yes,no
17,Sri Lanka,Male,12,35 to 39,2023,714308.6564489803,yes,no
17,Sri Lanka,Male,13,40 to 44,2023,783849.6786025936,yes,no
17,Sri Lanka,Male,14,45 to 49,2023,696609.1135980495,yes,no
17,Sri Lanka,Male,15,50 to 54,2023,645408.5453302899,yes,no
17,Sri Lanka,Male,16,55 to 59,2023,593172.0613943172,yes,no
17,Sri Lanka,Male,17,60 to 64,2023,532391.6467492477,yes,no
17,Sri Lanka,Male,18,65 to 69,2023,426443.9283381279,yes,no
17,Sri Lanka,Male,19,70 to 74,2023,323830.7573576161,yes,no
17,Sri Lanka,Male,20,75 to 79,2023,197581.35466052857,yes,no
17,Sri Lanka,Male,30,80 to 84,2023,101417.4989522336,yes,no
17,Sri Lanka,Male,31,85 to 89,2023,45563.49908276786,yes,yes
17,Sri Lanka,Male,32,90 to 94,2023,16388.04386477971,yes,yes
17,Sri Lanka,Male,235,95 plus,2023,5335.847327251222,yes,yes
