"major_group","sub_group","file_name","file_path","url","description"
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Female_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Female_1950-2023.csv.gz","Single age life tables up to age 100 - Female. Only medium is available."
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Female_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Female_2024-2100.csv.gz","Single age life tables up to age 100 - Female. Only medium is available."
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Male_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Male_1950-2023.csv.gz","Single age life tables up to age 100 - Male. Only medium is available."
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Male_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Male_2024-2100.csv.gz","Single age life tables up to age 100 - Male. Only medium is available."
"CSV format","Mortality",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_DeathsBySingleAgeSex_Medium_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_DeathsBySingleAgeSex_Medium_1950-2023.csv.gz","Deaths, by single age. Only medium is available."
"CSV format","Mortality",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_DeathsBySingleAgeSex_Medium_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_DeathsBySingleAgeSex_Medium_2024-2100.csv.gz","Deaths, by single age. Only medium is available."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_TotalPopulationBySex.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_TotalPopulationBySex.csv.gz","Total Population on 01 July."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryByAge5GroupSex_Medium.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryByAge5GroupSex_Medium.csv.gz","Population on 01 January, by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryByAge5GroupSex_OtherVariants.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryByAge5GroupSex_OtherVariants.csv.gz","Population on 01 January, by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryBySingleAgeSex_Medium_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryBySingleAgeSex_Medium_1950-2023.csv.gz","Population on 01 January, by single age. Only medium is available."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryBySingleAgeSex_Medium_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Population1JanuaryBySingleAgeSex_Medium_2024-2100.csv.gz","Population on 01 January, by single age. Only medium is available."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_Medium.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_Medium.csv.gz","Population on 01 July, by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_OtherVariants.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_OtherVariants.csv.gz","Population on 01 July, by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_Percentage_Medium.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_Percentage_Medium.csv.gz","Percentage of population on 01 July, by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_Percentage_OtherVariants.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationByAge5GroupSex_Percentage_OtherVariants.csv.gz","Percentage of population on 01 July, by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_1950-2023.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Constant fertility_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Constant fertility_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Constant mortality_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Constant mortality_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_High_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_High_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Instant replacement zero migration_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Instant replacement zero migration_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Instant replacement_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Instant replacement_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Low_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Low_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Momentum_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Momentum_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_No change_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_No change_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Zero migration_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Zero migration_2024-2100.csv.gz","Population on 01 July, by single age."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_Percentage_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_Percentage_1950-2023.csv.gz","Percentage of population on 01 July, by single age. Only medium is available."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_Percentage_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationBySingleAgeSex_Medium_Percentage_2024-2100.csv.gz","Percentage of population on 01 July, by single age. Only medium is available."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureByAge5GroupSex_Medium.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureByAge5GroupSex_Medium.csv.gz","Population exposure (01 Jan - 31 Dec), by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureByAge5GroupSex_OtherVariants.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureByAge5GroupSex_OtherVariants.csv.gz","Population exposure (01 Jan - 31 Dec), by 5-year age groups."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureBySingleAgeSex_Medium_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureBySingleAgeSex_Medium_1950-2023.csv.gz","Population exposure (01 Jan - 31 Dec), by single age. Only medium is available."
"CSV format","Population",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureBySingleAgeSex_Medium_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_PopulationExposureBySingleAgeSex_Medium_2024-2100.csv.gz","Population exposure (01 Jan - 31 Dec), by single age. Only medium is available."
