year,internal_bapc_population_proxy_20plus,wpp_34_location_exposure_20plus,absolute_difference_internal_minus_wpp_exposure,relative_difference_pct
2023,1629974769.1746342,1631436514.0,-1461744.8253657818,-0.08959863364721662
2050,2997901487.2761455,1744298695.0,1253602792.2761455,71.86858511501354
