year,internal_bapc_population_proxy_20plus,wpp_34_location_population_20plus,absolute_difference_internal_minus_wpp,relative_difference_pct
2023,1629974769.1746342,1631124507.0,-1149737.8253657818,-0.07048743492183836
2050,2997901487.2761455,1744223369.0,1253678118.2761455,71.87600742873347
