year,age_key,population,population_projection_method
2038,35-39,137159638,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,40-44,144514704,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,45-49,168164428,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,50-54,164784736,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,55-59,145160481,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,60-64,135963985,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,65-69,148356983,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,70-74,126248954,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,75-79,77952355,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,80-84,59304648,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,85-89,30682777,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,90-94,9307424,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2038,95+,2083558,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,20-24,144892249,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,25-29,151583167,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,30-34,141977731,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,35-39,136763987,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,40-44,141933291,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,45-49,162216662,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,50-54,169234618,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,55-59,147697466,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,60-64,132720972,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,65-69,146327152,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,70-74,127954094,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,75-79,86321745,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,80-84,58859373,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,85-89,32797312,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,90-94,10157018,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2039,95+,2191801,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,20-24,139032458,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,25-29,151964037,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,30-34,143944586,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,35-39,136416512,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,40-44,140064120,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,45-49,154869054,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,50-54,173491421,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,55-59,150471522,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,60-64,131905816,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,65-69,142522294,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,70-74,130637797,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,75-79,94655020,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,80-84,57148741,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,85-89,34752429,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,90-94,11234070,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2040,95+,2327105,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,20-24,131133009,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,25-29,151948371,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,30-34,145680296,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,35-39,136441823,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,40-44,138623680,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,45-49,149023067,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,50-54,174465684,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,55-59,153756688,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,60-64,133012647,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,65-69,137805850,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,70-74,133125753,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,75-79,102967854,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,80-84,55347313,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,85-89,36243640,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,90-94,12394306,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2041,95+,2499603,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,20-24,121740548,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,25-29,151059624,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,30-34,147992841,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,35-39,137495177,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,40-44,137194146,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,45-49,145761322,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,50-54,170738683,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,55-59,157169343,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,60-64,136403079,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,65-69,133041884,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,70-74,135351084,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,75-79,107972136,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,80-84,55884611,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,85-89,37586535,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,90-94,13657514,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2042,95+,2711320,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,20-24,113202350,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,25-29,148234205,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,30-34,149995969,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,35-39,139231073,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,40-44,136220012,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,45-49,143016881,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,50-54,165587832,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,55-59,161063018,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,60-64,140091747,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,65-69,128413099,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,70-74,135943104,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,75-79,109402496,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,80-84,60972667,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,85-89,38565243,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,90-94,14914971,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2043,95+,2963494,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,20-24,106281884,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,25-29,143915129,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,30-34,151012223,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,35-39,141340471,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,40-44,135838750,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,45-49,140474591,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,50-54,159735769,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,55-59,165493302,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,60-64,142614932,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,65-69,125421004,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,70-74,134198642,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,75-79,111163491,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,80-84,68054650,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,85-89,38298210,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,90-94,16009256,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2044,95+,3259594,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,20-24,101210606,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,25-29,138088246,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,30-34,151408506,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,35-39,143314957,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,40-44,135509649,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,45-49,138643190,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,50-54,152506961,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,55-59,169735512,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,60-64,145381673,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,65-69,124746568,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,70-74,130795321,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,75-79,113762285,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,80-84,74879607,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,85-89,37199906,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,90-94,17054060,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2045,95+,3638455,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,20-24,98342366,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,25-29,130221742,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,30-34,151407804,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,35-39,145057351,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,40-44,135550494,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,45-49,137236985,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,50-54,146761833,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,55-59,170738290,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,60-64,148659276,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,65-69,125906939,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,70-74,126537327,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,75-79,116166452,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,80-84,81529216,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,85-89,36077261,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,90-94,17859403,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2046,95+,4048221,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,20-24,96669808,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,25-29,120858297,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,30-34,150534355,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,35-39,147372357,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,40-44,136612370,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,45-49,135839687,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,50-54,143566373,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,55-59,167106714,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,60-64,152078500,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,65-69,129254234,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,70-74,122223423,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,75-79,118284074,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,80-84,85513964,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,85-89,36771222,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,90-94,18626691,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2047,95+,4498507,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,20-24,95729428,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,25-29,112347533,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,30-34,147728094,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,35-39,149378774,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,40-44,138353047,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,45-49,134893212,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,50-54,140880486,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,55-59,162074247,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,60-64,155963735,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,65-69,132873767,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,70-74,118032368,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,75-79,118953836,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,80-84,86887351,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,85-89,40811325,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,90-94,19214424,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2048,95+,4949941,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,20-24,95068695,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,25-29,105446927,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,30-34,143426278,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,35-39,150399550,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,40-44,140464136,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,45-49,134533016,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,50-54,138393473,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,55-59,156352206,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,60-64,160360074,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,65-69,135371181,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,70-74,115373520,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,75-79,117566091,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,80-84,88650092,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,85-89,46042046,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,90-94,19088414,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2049,95+,5352620,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,20-24,94494424,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,25-29,100385061,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,30-34,137613048,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,35-39,150797776,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,40-44,142438092,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,45-49,134222336,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,50-54,136610117,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,55-59,149277048,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,60-64,164572884,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,65-69,138117239,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,70-74,114877380,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,75-79,114684308,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,80-84,91046205,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,85-89,50839176,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,90-94,18553023,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
2050,95+,5770578,"UN WPP 2024 PopulationExposureByAge5GroupSex_Medium, medium variant, 34 matched locations"
