rank_by_avoidable_dalys,location_id,location_name,population_20plus,dominant_high_exposure_sex_dalys,avoidable_number_main_dalys,avoidable_number_main_lower_dalys,avoidable_number_main_upper_dalys,avoidable_daly_rate_per_100k_20plus,avoidable_pct_of_total_burden_main_dalys,avoidable_pct_of_observed_highbmi_attr_main_dalys,avoidable_number_main_deaths,avoidable_number_main_lower_deaths,avoidable_number_main_upper_deaths,avoidable_death_rate_per_100k_20plus,avoidable_pct_of_total_burden_main_deaths,avoidable_pct_of_observed_highbmi_attr_main_deaths
1,6,China,1097983988.0786433,Female,1153.3024419018689,305.22421364415374,2843.126116952432,0.10503818401942519,0.3273471388371367,7.204197208392504,45.87832100341173,12.077963944779706,114.65372244526274,0.00417841439415651,0.3235167750123846,7.770099871973486
2,11,Indonesia,197528457.8278283,Female,492.0961226437911,58.74212486420121,2074.7141623237167,0.24912669701128168,0.2938437897355332,20.84648529359008,14.405964745273248,1.6664039928378251,61.45295016845677,0.007293108498740935,0.280492269203687,22.496453413325423
3,18,Thailand,52665202.77456117,Female,460.05826530924696,59.50497771053404,1658.3213984540268,0.8735526326150758,0.7570643324829638,19.88112156607558,18.70671939318325,2.23951774665863,67.657880373698,0.03552007475079758,0.8036340125060293,21.57907773929509
4,13,Malaysia,23773606.99089723,Female,187.92583032427615,31.06661493770787,601.7539119553963,0.7904809328943303,1.358702172992649,19.82956216029085,8.606798572538162,1.2764789666317249,28.44707918419096,0.03620316671270646,1.5375013477935018,24.757740994601065
5,16,Philippines,70277651.75627588,Female,161.83543593432125,32.74411748081764,485.7934447153186,0.23028008462145175,0.6808971883467798,21.6499227750071,6.25271574749,1.2205867916646016,19.044206477421792,0.008897160891451705,0.7684233949299945,24.47798384186159
6,15,Myanmar,36425118.575830795,Female,83.74115508553912,7.211086052740126,391.0196602207795,0.2298994714628163,0.4151103167342971,31.060154987580084,2.7045530215872997,0.2202469600061347,12.901444163759775,0.007424966966015192,0.4702743357344547,31.53813047252725
7,20,Viet Nam,70944210.70067607,Female,72.23052527497633,9.700213149669551,314.0815378483253,0.10181313536593903,0.2321082091266615,16.0726488377505,3.062976376556057,0.389495881280028,14.090208413161116,0.004317443729805099,0.2689833285651672,19.961652430533764
8,8,Taiwan,19435165.51084975,Female,50.58873685555278,10.809511539535135,151.57326610200687,0.2602948599913463,0.3929607371638288,6.729339561045743,2.2760421691130905,0.4909588294353537,6.881199305099591,0.01171094821828238,0.4089871173378755,7.661624514294391
9,17,Sri Lanka,15962623.274750927,Female,42.5597872919448,6.2895008650418855,150.2837430141836,0.26662151050864086,0.8490876786635021,31.425201669095905,1.9143810930455905,0.2625879647151071,7.064417139398057,0.011992897784374113,0.9186849433803684,36.327292697403216
10,7,Democratic People's Republic of Korea,19895024.609391384,Female,29.48124652629577,3.632523178692012,118.42751651245923,0.14818401638155923,0.3916789707298825,8.065858596231633,1.3240613389512408,0.1575811359680368,5.37195784948431,0.006655238507853978,0.4851324122097024,10.915341142003872
11,10,Cambodia,10676020.071228107,Female,22.740046610218208,1.5159462623084343,118.2402131338756,0.21300116015613976,0.5411018994399999,37.86364025653364,0.8553602896985295,0.0495936474024737,4.5481053325461325,0.008011977159950523,0.6074663951956182,42.81069937424052
12,26,Papua New Guinea,5860845.960979017,Female,14.225532902831045,2.0915187272588867,50.28422963328008,0.24272149443174856,0.7576955435754147,8.774622581566371,0.4850304948609652,0.0656608995027206,1.7677467461004632,0.00827577619494275,0.839856927214583,10.214332902431662
13,12,Lao People's Democratic Republic,4558085.877322754,Female,8.801270530841045,0.8659828658134312,37.38100087900532,0.19309137141598956,0.4242677534842201,21.24781854061991,0.334503975336376,0.0310656450045659,1.4585107323424122,0.00733869401190069,0.4958042260957888,26.13575009684152
14,22,Fiji,583065.3858940509,Female,6.776731826380861,1.4463064474013054,18.479004913998985,1.162259326368632,1.9752400290034229,15.722846778414516,0.2071771022592143,0.0442515837245714,0.5674598001533097,0.03553239606935962,1.8443701307435767,14.475189284421123
15,29,Tonga,57238.69512220295,Female,2.1975974495195474,0.5950325059035578,4.795942082732181,3.8393563040312864,2.0124992942800297,8.437848161595491,0.0743282372072233,0.0195748226282502,0.166129459946313,0.12985662417449362,1.88352500382428,8.33966919869689
16,28,Solomon Islands,456063.5743127903,Female,1.7048263618107768,0.2242524085635532,6.363482747782914,0.3738133141590311,0.3950159513912604,6.865579995587678,0.0521343246063826,0.0066642507215267,0.1998517573120192,0.01143137219080478,0.405666785663435,7.119089131134475
17,183,Mauritius,989066.248836878,Female,1.3805583758245206,0.2361916852684422,4.975484404654208,0.13958199235370022,0.3008197698345037,19.260520750824103,0.0612602459645117,0.0105093380785069,0.218265863843589,0.006193745468167831,0.3798917100421202,21.757175742860248
18,14,Maldives,397297.5850032146,Female,0.8369435773711702,0.1263259292784702,2.899163749848732,0.21065911522326478,0.9613601378731476,17.561444027819846,0.0369915240565343,0.0050883338178327,0.1332673558703455,0.009310785026854618,1.0341116581298258,21.706763848550374
19,30,Vanuatu,177587.4449384936,Female,0.7047598621760868,0.1087686841249499,2.401162501736787,0.39685230136633604,0.5790644257878541,10.682558415136068,0.0228169771610717,0.0033974095593876,0.0793307954311687,0.012848305334295582,0.6558359093860114,11.976548338207383
20,27,Samoa,114563.89655610402,Female,0.6166590441565587,0.0919811958156115,2.0767281595123253,0.5382664719810482,0.770323943793856,9.152644243478775,0.0204180784151701,0.0030718733502831,0.0683715934177137,0.017822437110604904,0.7806773938195034,9.125617168389445
21,23,Kiribati,72668.90328973322,Female,0.6064669094217776,0.1061874834768459,1.8377164609951016,0.8345618028715458,1.2595614594460345,16.64302319280306,0.0158237112701076,0.002737884940017,0.0483762057914092,0.021775079234398188,1.1591637345531765,15.74275246917568
22,24,Marshall Islands,23576.21298657162,Female,0.4875637518926559,0.0902963047507963,1.454725673660004,2.0680325214671207,1.7670467025702044,10.365518501982926,0.014696706595161,0.002735393161337,0.044048464036282,0.06233701147649053,1.732994140307417,9.852727931978212
23,25,Micronesia (Federated States of),62639.346209809,Female,0.3964974649906501,0.0604485889615696,1.4374533136172225,0.6329846797292412,0.5592158996332833,14.729005137290525,0.0121370383696005,0.0018558230816621,0.0443447159320136,0.019376061699219814,0.5789869540380901,14.145428168679622
24,298,American Samoa,30547.910840435925,Female,0.3434317277500943,0.0725864457750367,0.9056006591184752,1.124239656007826,0.9799254805762616,7.277376627851757,0.0104805876636801,0.0022500356289597,0.0279009941415793,0.03430868879519926,0.9389607456539308,6.927845953497412
25,376,Northern Mariana Islands,33102.23012546578,Female,0.3319710284395639,0.0626992897305477,0.9622320864936832,1.002866052170232,0.5659397344318321,6.773539437858081,0.0109705630771407,0.0021101932512653,0.0318226505360938,0.03314146217810554,0.5812280817740916,6.742401354104575
26,19,Timor-Leste,765392.6072831368,Female,0.3278569722921275,0.0354283358050363,1.7595404968510835,0.042835137048932256,0.1532597854496304,18.228404470375324,0.0126335142392594,0.0012933536593015,0.0732431515291479,0.0016505926656521736,0.1669259243891144,20.20786475969994
27,186,Seychelles,76184.53829758406,Female,0.2056272761035051,0.0259393767176041,0.8182380087953266,0.26990683503298973,0.3470607577926723,10.318751948709677,0.0096248883051152,0.001150444686245,0.0395837949732605,0.012633650502047372,0.4576615727910667,13.609442060285474
28,351,Guam,110984.247240527,Male,0.1637448004124444,0.0420967980775711,0.4394932829285689,0.1475387764333562,0.1292754664490323,1.7047052466134645,0.0062877339864752,0.0016364551950286,0.0166669444624267,0.005665429232356114,0.1468056755573175,1.8871931358408505
29,416,Tuvalu,6616.141026591107,Female,0.1243264149288846,0.0227923299337957,0.3531391695998738,1.879137920869598,1.5132025202516777,12.05733762892393,0.0039538174831928,0.0007278953962168,0.0111403263136114,0.05976017541497238,1.5061379739861838,11.946464457035876
30,369,Nauru,6621.975974245357,Female,0.1203962908558061,0.0267629611797673,0.2978881031494036,1.8181324022324996,1.3938887639024065,7.285840838480293,0.0036800923671975,0.0008295576735855,0.0091248762786795,0.05557393112736089,1.5725868221727075,7.960416160897552
31,380,Palau,13570.46427976271,Female,0.1025865537582199,0.0199410880296234,0.2999095678976545,0.7559546353266973,0.5835611015691708,7.347417704207471,0.0043787882518174,0.000864957433809,0.0129905531912084,0.032267048212546244,0.7243289417742674,8.980111586577102
32,320,Cook Islands,9760.308064241746,Female,0.1016230651918133,0.0276687085155995,0.2240168724047611,1.0411870662579146,0.8604854317181643,3.0476216276097907,0.0038654239709247,0.0009935152252959,0.008987921740538,0.03960350375708141,0.852959249455142,3.299435912410933
33,374,Niue,1165.79479060576,Female,0.0134354057497849,0.0028039313149002,0.0369401886273454,1.1524674718098298,1.206285561144304,8.514629922891757,0.0005650566979026,0.0001168912601926,0.0016007267694616,0.04846965370371832,1.4179230541004753,10.116322762574365
34,413,Tokelau,1053.6543270941966,Female,0.0039469262394677,0.0007537377620389,0.0107935971542563,0.3745940331638618,0.6433538092191089,3.813301136839075,0.0001341946093586,2.5716136853646253e-05,0.0003706516446159,0.012736113344562105,0.5691668061752507,3.563723569290131
