year,age_key,measure_id,measure_name,total_number,high_bmi_attr_number,population,total_rate,high_bmi_attr_rate
1990,20-24,1,Deaths,110.67029900616163,0.6866841353914865,181577429.54224837,0.06094936980061804,3.7817703286283875e-4
1990,25-29,1,Deaths,139.33142293391367,1.4787153747826902,154721219.79026243,0.09005320868255115,9.557288759662137e-4
1990,30-34,1,Deaths,249.37147035558806,3.643349696520143,127172552.7770907,0.19608906553341648,0.002864886814772243
1990,35-39,1,Deaths,451.85633615254227,7.1719323841943785,123227470.30648826,0.36668474572162896,0.005820075967117176
1990,40-44,1,Deaths,631.1960003216309,8.123119592154602,91596410.8935344,0.6891056037722824,0.008868381973608525
1990,45-49,1,Deaths,813.7680933085373,9.456409591611973,72073112.5923182,1.129086928590998,0.013120578883698535
1990,50-54,1,Deaths,1176.5749753657315,16.427377020380305,65989164.164932854,1.7829820853996698,0.024894052270948354
1990,55-59,1,Deaths,1518.224788275864,25.340467262073904,58523705.72479774,2.5942048089284953,0.04329949197208236
1990,60-64,1,Deaths,1752.348674201061,29.518846649043883,47536319.41914552,3.6863364593921264,0.06209745939471074
1990,65-69,1,Deaths,1766.6990296087556,27.666610629182344,36174146.71154906,4.883872019694978,0.07648172284420304
1990,70-74,1,Deaths,1524.1807373727077,17.4403025604029,24622731.93544395,6.190136583417369,0.07083008744166978
1990,75-79,1,Deaths,1126.810659762039,9.575499680142354,14925643.074271297,7.549494880421107,0.06415468755680298
1990,80-84,1,Deaths,649.8101033660677,3.6398028917667262,7513700.088436775,8.648336980685379,0.04844221686953155
1990,85-89,1,Deaths,283.1450785810064,0.8657530161436465,2870700.992421674,9.863273093522361,0.030158244220806575
1990,90-94,1,Deaths,75.635944768188,0.12206843199871201,656941.1799597089,11.513351130283361,0.018581333568737254
1990,95+,1,Deaths,22.713324561670213,0.012750608067497381,149774.60246070885,15.165004071787617,0.008513197737141258
1991,20-24,1,Deaths,107.79371321134306,0.6904719648988282,181553984.6457497,0.05937281598179816,3.803122064470716e-4
1991,25-29,1,Deaths,143.7105584690587,1.6519092981904266,164687255.15464908,0.08726270793335388,0.0010030583706305664
1991,30-34,1,Deaths,245.8033919866729,3.749509082463913,126388729.52611297,0.19448204986971396,0.0029666482893866203
1991,35-39,1,Deaths,461.5215395474519,7.714252574090885,127955565.0848802,0.3606889151255738,0.006028852726314469
1991,40-44,1,Deaths,656.1377877160646,8.905658967104213,96925181.00702438,0.6769528629185773,0.009188178835032354
1991,45-49,1,Deaths,825.8590829714024,10.022825714695307,74422242.06973991,1.109693903332693,0.013467513791512857
